price,Area,bathroom,bedroom,location
PKR3.25 Crore,10 Marla,5,4,"Citi Housing, Faisalabad, Punjab"
PKR4.5 Crore,5 Marla,2,4,"Ghulam Mohammad Abad, Faisalabad, Punjab"
PKR3.5 Crore,11 Marla,3,3,"Al Najaf Colony, Faisalabad, Punjab"
PKR15 Crore,1 Kanal,6,6,"Canal Road, Faisalabad, Punjab"
PKR13 Crore,1 Kanal,7,5,"Canal Road, Faisalabad, Punjab"
PKR3.45 Crore,7 Marla,5,5,"Satiana Road, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,5,3,"Eden Orchard, Faisalabad, Punjab"
PKR4.25 Crore,7 Marla,5,5,"Eden Valley, Faisalabad, Punjab"
PKR2 Crore,5 Marla,5,4,"Eden Valley, Faisalabad, Punjab"
PKR1.85 Crore,5 Marla,5,4,"Gulberg Valley, Faisalabad, Punjab"
PKR2.8 Crore,5 Marla,4,3,"Canal Garden, Faisalabad, Punjab"
PKR8 Crore,13 Marla,5,4,"Lahore - Sheikhupura - Faisalabad Road, Faisalabad, Punjab"
PKR4 Crore,7 Marla,4,5,"D Ground, Faisalabad, Punjab"
PKR1.95 Crore,5 Marla,5,5,"Satiana Road, Faisalabad, Punjab"
PKR4.5 Crore,7 Marla,-,-,"Canal Road, Faisalabad, Punjab"
PKR1.85 Crore,3.2 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.55 Crore,5 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR1.4 Crore,2.5 Marla,3,3,"Eden Valley, Faisalabad, Punjab"
PKR2.9 Crore,5 Marla,4,4,"Eden Valley, Faisalabad, Punjab"
PKR13 Crore,1 Kanal,7,5,"Canal Road, Faisalabad, Punjab"
PKR39 Crore,1.3 Kanal,-,-,"Canal Road, Faisalabad, Punjab"
PKR3.5 Crore,6 Marla,7,4,"Canal Road, Faisalabad, Punjab"
PKR1.5 Crore,7 Marla,2,2,"Lower Canal Road, Faisalabad, Punjab"
PKR1.8 Crore,5 Marla,-,-,"Madina Town, Faisalabad, Punjab"
PKR3 Crore,7 Marla,-,-,"Madina Town, Faisalabad, Punjab"
PKR5.5 Crore,1 Kanal,5,4,"Judicial Employees Coop Housing Society, Faisalabad, Punjab"
PKR4.75 Crore,10 Marla,4,4,"Wapda City, Faisalabad, Punjab"
